,DATA,REGIÃO,ESTADO,VALOR REVENDA,ANO,MES,MES/ANO
72,2004-05-23,NORTE,RORAIMA,1.995,2004,5,05/2004
73,2004-05-23,NORTE,TOCANTINS,2.101,2004,5,05/2004
74,2004-05-23,SUDESTE,ESPIRITO SANTO,2.019,2004,5,05/2004
75,2004-05-23,SUDESTE,MINAS GERAIS,1.98,2004,5,05/2004
76,2004-05-23,SUDESTE,RIO DE JANEIRO,2.042,2004,5,05/2004
77,2004-05-23,SUDESTE,SAO PAULO,1.894,2004,5,05/2004
78,2004-05-23,SUL,PARANA,1.963,2004,5,05/2004
79,2004-05-23,SUL,RIO GRANDE DO SUL,2.133,2004,5,05/2004
80,2004-05-23,SUL,SANTA CATARINA,2.065,2004,5,05/2004
81,2004-05-30,CENTRO OESTE,DISTRITO FEDERAL,2.059,2004,5,05/2004
82,2004-05-30,CENTRO OESTE,GOIAS,2.033,2004,5,05/2004
83,2004-05-30,CENTRO OESTE,MATO GROSSO,2.365,2004,5,05/2004
84,2004-05-30,CENTRO OESTE,MATO GROSSO DO SUL,2.129,2004,5,05/2004
85,2004-05-30,NORDESTE,ALAGOAS,2.089,2004,5,05/2004
86,2004-05-30,NORDESTE,BAHIA,2.044,2004,5,05/2004
87,2004-05-30,NORDESTE,CEARA,2.148,2004,5,05/2004
88,2004-05-30,NORDESTE,MARANHAO,2.075,2004,5,05/2004
89,2004-05-30,NORDESTE,PARAIBA,1.999,2004,5,05/2004
90,2004-05-30,NORDESTE,PERNAMBUCO,1.966,2004,5,05/2004
91,2004-05-30,NORDESTE,PIAUI,2.097,2004,5,05/2004
92,2004-05-30,NORDESTE,RIO GRANDE DO NORTE,1.951,2004,5,05/2004
93,2004-05-30,NORDESTE,SERGIPE,1.967,2004,5,05/2004
94,2004-05-30,NORTE,ACRE,2.435,2004,5,05/2004
95,2004-05-30,NORTE,AMAPA,2.291,2004,5,05/2004
96,2004-05-30,NORTE,AMAZONAS,2.044,2004,5,05/2004
97,2004-05-30,NORTE,PARA,2.3280000000000003,2004,5,05/2004
98,2004-05-30,NORTE,RONDONIA,2.336,2004,5,05/2004
99,2004-05-30,NORTE,RORAIMA,1.995,2004,5,05/2004
100,2004-05-30,NORTE,TOCANTINS,2.107,2004,5,05/2004
101,2004-05-30,SUDESTE,ESPIRITO SANTO,2.033,2004,5,05/2004
102,2004-05-30,SUDESTE,MINAS GERAIS,1.995,2004,5,05/2004
103,2004-05-30,SUDESTE,RIO DE JANEIRO,2.053,2004,5,05/2004
104,2004-05-30,SUDESTE,SAO PAULO,1.912,2004,5,05/2004
105,2004-05-30,SUL,PARANA,1.993,2004,5,05/2004
106,2004-05-30,SUL,RIO GRANDE DO SUL,2.157,2004,5,05/2004
107,2004-05-30,SUL,SANTA CATARINA,2.08,2004,5,05/2004
108,2004-06-06,CENTRO OESTE,DISTRITO FEDERAL,2.0540000000000003,2004,6,06/2004
109,2004-06-06,CENTRO OESTE,GOIAS,2.035,2004,6,06/2004
110,2004-06-06,CENTRO OESTE,MATO GROSSO,2.364,2004,6,06/2004
111,2004-06-06,CENTRO OESTE,MATO GROSSO DO SUL,2.138,2004,6,06/2004
112,2004-06-06,NORDESTE,ALAGOAS,2.089,2004,6,06/2004
113,2004-06-06,NORDESTE,BAHIA,2.064,2004,6,06/2004
114,2004-06-06,NORDESTE,CEARA,2.147,2004,6,06/2004
115,2004-06-06,NORDESTE,MARANHAO,2.082,2004,6,06/2004
116,2004-06-06,NORDESTE,PARAIBA,1.999,2004,6,06/2004
117,2004-06-06,NORDESTE,PERNAMBUCO,2.014,2004,6,06/2004
118,2004-06-06,NORDESTE,PIAUI,2.12,2004,6,06/2004
119,2004-06-06,NORDESTE,RIO GRANDE DO NORTE,1.949,2004,6,06/2004
120,2004-06-06,NORDESTE,SERGIPE,1.988,2004,6,06/2004
121,2004-06-06,NORTE,ACRE,2.437,2004,6,06/2004
122,2004-06-06,NORTE,AMAPA,2.337,2004,6,06/2004
123,2004-06-06,NORTE,AMAZONAS,2.059,2004,6,06/2004
124,2004-06-06,NORTE,PARA,2.35,2004,6,06/2004
125,2004-06-06,NORTE,RONDONIA,2.337,2004,6,06/2004
126,2004-06-06,NORTE,RORAIMA,1.995,2004,6,06/2004
127,2004-06-06,NORTE,TOCANTINS,2.105,2004,6,06/2004
128,2004-06-06,SUDESTE,ESPIRITO SANTO,2.036,2004,6,06/2004
129,2004-06-06,SUDESTE,MINAS GERAIS,2.005,2004,6,06/2004
130,2004-06-06,SUDESTE,RIO DE JANEIRO,2.063,2004,6,06/2004
131,2004-06-06,SUDESTE,SAO PAULO,1.919,2004,6,06/2004
132,2004-06-06,SUL,PARANA,2.001,2004,6,06/2004
133,2004-06-06,SUL,RIO GRANDE DO SUL,2.1590000000000003,2004,6,06/2004
134,2004-06-06,SUL,SANTA CATARINA,2.085,2004,6,06/2004
135,2004-06-13,CENTRO OESTE,DISTRITO FEDERAL,2.037,2004,6,06/2004
136,2004-06-13,CENTRO OESTE,GOIAS,2.051,2004,6,06/2004
137,2004-06-13,CENTRO OESTE,MATO GROSSO,2.4130000000000003,2004,6,06/2004
138,2004-06-13,CENTRO OESTE,MATO GROSSO DO SUL,2.161,2004,6,06/2004
139,2004-06-13,NORDESTE,ALAGOAS,2.119,2004,6,06/2004
140,2004-06-13,NORDESTE,BAHIA,2.095,2004,6,06/2004
141,2004-06-13,NORDESTE,CEARA,2.194,2004,6,06/2004
142,2004-06-13,NORDESTE,MARANHAO,2.1,2004,6,06/2004
143,2004-06-13,NORDESTE,PARAIBA,2.026,2004,6,06/2004
144,2004-06-13,NORDESTE,PERNAMBUCO,2.031,2004,6,06/2004
145,2004-06-13,NORDESTE,PIAUI,2.141,2004,6,06/2004
146,2004-06-13,NORDESTE,RIO GRANDE DO NORTE,2.039,2004,6,06/2004
147,2004-06-13,NORDESTE,SERGIPE,2.007,2004,6,06/2004
148,2004-06-13,NORTE,ACRE,2.437,2004,6,06/2004
149,2004-06-13,NORTE,AMAPA,2.376,2004,6,06/2004
150,2004-06-13,NORTE,AMAZONAS,2.061,2004,6,06/2004
151,2004-06-13,NORTE,PARA,2.373,2004,6,06/2004
152,2004-06-13,NORTE,RONDONIA,2.349,2004,6,06/2004
153,2004-06-13,NORTE,RORAIMA,2.009,2004,6,06/2004
154,2004-06-13,NORTE,TOCANTINS,2.151,2004,6,06/2004
155,2004-06-13,SUDESTE,ESPIRITO SANTO,2.051,2004,6,06/2004
156,2004-06-13,SUDESTE,MINAS GERAIS,2.032,2004,6,06/2004
